sale_id,sales_channel,revenue,sale_date
1,Online,196.33,2025-05-01
2,Retail,140.12,2025-05-02
3,Online,106.57,2025-05-03
4,Retail,471.81,2025-05-04
5,Retail,367.97,2025-05-05
6,Wholesale,414.06,2025-05-06
7,Online,212.69,2025-05-07
8,Wholesale,334.56,2025-05-08
9,Online,125.58,2025-05-09
10,Online,294.25,2025-05-10
11,Online,491.0,2025-05-11
12,Wholesale,450.6,2025-05-12
13,Retail,235.26,2025-05-13
14,Wholesale,484.63,2025-05-14
15,Wholesale,192.68,2025-05-15
16,Online,479.73,2025-05-16
17,Retail,476.55,2025-05-17
18,Retail,419.68,2025-05-18
19,Retail,352.18,2025-05-19
20,Retail,449.72,2025-05-20
21,Online,217.21,2025-05-21
22,Retail,439.58,2025-05-22
23,Online,347.15,2025-05-23
24,Online,105.29,2025-05-24
25,Retail,238.89,2025-05-25
26,Wholesale,159.26,2025-05-26
27,Online,492.73,2025-05-27
28,Wholesale,291.35,2025-05-28
29,Online,298.96,2025-05-29
30,Retail,355.79,2025-05-30
31,Retail,247.43,2025-05-31
32,Wholesale,154.76,2025-06-01
33,Online,428.85,2025-06-02
34,Retail,175.94,2025-06-03
35,Retail,304.53,2025-06-04
36,Retail,189.73,2025-06-05
37,Online,139.14,2025-06-06
38,Wholesale,444.88,2025-06-07
39,Online,489.17,2025-06-08
40,Wholesale,484.33,2025-06-09
41,Wholesale,462.62,2025-06-10
42,Online,409.62,2025-06-11
43,Wholesale,233.26,2025-06-12
44,Online,132.44,2025-06-13
45,Online,262.9,2025-06-14
46,Online,192.89,2025-06-15
47,Retail,153.0,2025-06-16
48,Retail,121.37,2025-06-17
49,Wholesale,390.24,2025-06-18
50,Online,104.57,2025-06-19
51,Online,408.23,2025-06-20
52,Retail,158.78,2025-06-21
53,Online,131.81,2025-06-22
54,Retail,135.84,2025-06-23
55,Wholesale,368.82,2025-06-24
56,Wholesale,198.15,2025-06-25
57,Online,268.22,2025-06-26
58,Retail,322.95,2025-06-27
59,Retail,444.22,2025-06-28
60,Retail,390.82,2025-06-29
61,Retail,208.13,2025-06-30
62,Wholesale,152.59,2025-07-01
63,Wholesale,122.15,2025-07-02
64,Wholesale,220.64,2025-07-03
65,Online,204.85,2025-07-04
66,Wholesale,282.46,2025-07-05
67,Retail,373.31,2025-07-06
68,Online,378.25,2025-07-07
69,Retail,213.41,2025-07-08
70,Wholesale,251.97,2025-07-09
71,Online,172.46,2025-07-10
72,Online,415.42,2025-07-11
73,Wholesale,122.74,2025-07-12
74,Online,378.8,2025-07-13
75,Online,411.48,2025-07-14
76,Online,410.96,2025-07-15
77,Online,203.77,2025-07-16
78,Online,249.53,2025-07-17
79,Online,335.04,2025-07-18
80,Wholesale,209.13,2025-07-19
81,Online,248.34,2025-07-20
82,Wholesale,178.82,2025-07-21
83,Retail,283.94,2025-07-22
84,Retail,117.84,2025-07-23
85,Retail,419.92,2025-07-24
86,Online,130.78,2025-07-25
87,Retail,307.53,2025-07-26
88,Retail,222.72,2025-07-27
89,Retail,331.02,2025-07-28
90,Online,483.77,2025-07-29
91,Retail,358.23,2025-07-30
92,Wholesale,114.14,2025-07-31
93,Online,272.16,2025-08-01
94,Retail,304.01,2025-08-02
95,Wholesale,314.47,2025-08-03
96,Online,372.56,2025-08-04
97,Wholesale,211.04,2025-08-05
98,Online,151.54,2025-08-06
99,Retail,257.07,2025-08-07
100,Wholesale,482.56,2025-08-08
101,Wholesale,174.85,2025-08-09
102,Retail,461.59,2025-08-10
103,Online,317.52,2025-08-11
104,Retail,282.76,2025-08-12
105,Retail,452.82,2025-08-13
106,Online,283.44,2025-08-14
107,Wholesale,389.67,2025-08-15
108,Wholesale,259.61,2025-08-16
109,Wholesale,461.62,2025-08-17
